Sr. No,Name,State,City,Zip-Code,Phone,Category,Site
1,"Byars Wright, Inc.",Alabama,Alabaster,35007-8755,205-663-2905,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/114637/byars-wright-inc/
2,Superior Agency LLC,Alabama,Alabaster,35007,(205) 358-8035,Life,https://www.trustedchoice.com/agency-profile/1269626/superior-agency-llc/
3,"Harris Fowler Insurance, Inc.",Alabama,Albertville,35950,256-878-9172,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/114886/harris-fowler-insurance-inc/
4,Randy Jones & Associates,Alabama,Albertville,35950,(256) 878-3271,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/1248287/randy-jones-associates/
5,"Dark Insurance Agency, Inc.
410 Hillabee Street
Alexander City , AL 35010",Alabama,Alexander City,,,,https://www.trustedchoice.com/agency-profile/114640/dark-insurance-agency-inc/
6,First Insurance,Alabama,Alexander City,35010-2660,(256) 329-0888,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/114643/first-insurance/
7,"Southern Insurance Group, Inc.",Alabama,Allgood,35121,205-274-9099,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/711250/southern-insurance-group-inc/
8,"Davis & Associates, Inc.
1731 E Three Notch St
Andalusia, AL 36421",Alabama,Andalusia,,,,https://www.trustedchoice.com/agency-profile/283640/davis-associates-inc/
9,"O'Neal Agency, Inc.",Alabama,Andalusia,36420-3803,334-222-3111,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/114998/oneal-agency-inc/
10,Sanbuck,Alabama,Andalusia,36420,334-222-1556,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/1154055/sanbuck/
11,Dormon & Reynolds Insurance Inc,Alabama,Anniston,36207,(256) 237-1768,"Car, Life, Business",https://www.trustedchoice.com/agency-profile/114943/dormon-reynolds-insurance-inc/
12,"Harris McKay Insurance, Inc.",Alabama,Anniston,36201-4648,256-236-0301,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/114947/harris-mckay-insurance-inc/
13,"Insurance Planning Services, Inc.
103 East 13th St
Anniston, AL 35203",Alabama,Anniston,,,,https://www.trustedchoice.com/agency-profile/114944/insurance-planning-services-inc/
14,Darlene Shelton Insurance,Alabama,Arab,35016,256-931-4226,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/993106/darlene-shelton-insurance/
15,Holloway & Hunt Insurance Agency,Alabama,Arab,35016-1056,(256) 586-6688,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/296450/holloway-hunt-insurance-agency/
16,North Alabama Insurance Agency,Alabama,Ardmore,35739-8559,256-423-2141,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/263707/north-alabama-insurance-agency/
17,Salter Insurance Agency,Alabama,Ashford,36312-5490,334-899-6600,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/114978/salter-insurance-agency/
18,Wright-Sprayberry Insurance,Alabama,Ashland,36251,25635844100,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/937691/wright-sprayberry-insurance/
19,"Martin & Hubbs, Inc.",Alabama,Athens,35611-2656,(256) 232-0505,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/114834/martin-hubbs-inc/
20,"Pepper, Johnstone & Company
122 W. Market St.
Athens, AL 35611",Alabama,Athens,,,,https://www.trustedchoice.com/agency-profile/114835/pepper-johnstone-company/
21,"Richardson - Deemer Insurance, Inc.",Alabama,Athens,35611-2659,256-232-3310,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/114836/richardson-deemer-insurance-inc/
22,Atmore Insurance Services,Alabama,Atmore,36502,(251) 368-1336,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/115017/atmore-insurance-services/
23,Peak Insurance,Alabama,Auburn,36830-3354,334-321-4606,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/853702/peak-insurance/
24,Starr Insurance Group LLC,Alabama,Auburn,36832-3520,(334) 521-7209,Life,https://www.trustedchoice.com/agency-profile/1273488/starr-insurance-group-llc/
25,University Agency,Alabama,Auburn,36830-4402,334-887-6569,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/115080/university-agency/
26,"Blackmon Insurance Agency, Inc.",Alabama,Bay Minette,36507-4824,251-937-9585,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/115040/blackmon-insurance-agency-inc/
27,"Holt Insurance Agency, Inc.
1423 4th Avenue North
Bessemer, AL 35020",Alabama,Bessemer,,,,https://www.trustedchoice.com/agency-profile/114647/holt-insurance-agency-inc/
28,"Agency Insurance Division; The CIA Insurance Agency, Inc dba",Alabama,Big Sky,,4062040902,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/1007603/agency-insurance-division-the-cia-insurance-agency-inc-dba/
29,"Alabama Insurance Exchange, Inc.
2032 Valleydale Rd
Birmingham, AL 35244",Alabama,Birmingham,,,,https://www.trustedchoice.com/agency-profile/114769/alabama-insurance-exchange-inc/
30,Alabama Insurance Management Services,Alabama,Birmingham,35211-4541,205-326-4129,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/660001/alabama-insurance-management-services/
31,"Anchor Pardue Insurance, Inc.",Alabama,Birmingham,35223,205-823-7707,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/114738/anchor-pardue-insurance-inc/
32,"Arthur J. Gallagher Risk Management Services, Inc.",Alabama,Birmingham,35209,205-986-7714,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/1230706/arthur-j-gallagher-risk-management-services-inc/
33,Assured Partners of AL dba Clark Associates Inc,Alabama,Birmingham,35209-6895,205-823-2300,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/114749/assured-partners-of-al-dba-clark-associates-inc/
34,BXS Insurance,Alabama,Birmingham,35209-6826,251-861-8081,Life,https://www.trustedchoice.com/agency-profile/1270380/bxs-insurance/
35,Caribou,Alabama,Birmingham,35243,678-501-6209,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/1351653/caribou/
36,Cobbs Allen,Alabama,Birmingham,35223-2423,205-414-8100,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/114701/cobbs-allen/
37,Conour Insurance Inc.,Alabama,Birmingham,35216-2139,205-822-7020,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/1064679/conour-insurance-inc/
38,Crutchfield & Graves Insurance Agency,Alabama,Birmingham,35244-1884,205-988-5099,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/210301/crutchfield-graves-insurance-agency/
39,"Dave Engel Insurance Agency, Inc.",Alabama,Birmingham,35242-4906,205-991-7131,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/216133/dave-engel-insurance-agency-inc/
40,Employee Benefit Services Inc,Alabama,Birmingham,35216,205-823-2300,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/789538/employee-benefit-services-inc/
41,Encore Risk Management Group,Alabama,Birmingham,35244-3923,(205) 402-3921,Life,https://www.trustedchoice.com/agency-profile/295066/encore-risk-management-group/
42,Galactic Insurance Services,Alabama,Birmingham,35209-6729,(205) 322-2220,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/279513/galactic-insurance-services/
43,Golden Agents Corp,Alabama,Birmingham,35203,833-646-5336,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/1335394/golden-agents-corp/
44,Greenhalgh Insurance Agency,Alabama,Birmingham,35243-5243,205-967-8800,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/114716/greenhalgh-insurance-agency/
45,"Houseal Agency, Inc.",Alabama,Birmingham,36532,205-531-3688,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/139543/houseal-agency-inc/
46,Insurance Office of America,Alabama,Birmingham,35243-1945,205-968-3440,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/705788/insurance-office-of-america/
47,Insurance Solutions Group of Birmingham,Alabama,Birmingham,35242-2671,(205) 730-2878,Life,https://www.trustedchoice.com/agency-profile/1271261/insurance-solutions-group-of-birmingham/
48,InsuranceSouth,Alabama,Birmingham,35242-5089,205-325-1374,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/312079/insurancesouth/
49,J. Smith Lanier & Co. Birmingham,Alabama,Birmingham,35242,(205) 969-2131,"Car, Life, Home, Business",https://www.trustedchoice.com/agency-profile/720023/j-smith-lanier-co-birmingham/
